Damage event on window 0x240000a area = [0 0 1920 1019], geometry = [0 0 1920 1019], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 269 876 38], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 233 876 38], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 197 876 38], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 575 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 575 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 575 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 785], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [1 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [2 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [6 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [24 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [33 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [37 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [41 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [42 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [43 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [42 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [40 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [37 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [35 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [33 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [32 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [29 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [27 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [24 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [23 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [22 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [25 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [29 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [33 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [38 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [42 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [51 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [56 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [63 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [64 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [65 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [63 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [60 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [56 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [52 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [43 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [36 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [19 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [10 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [2 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [6 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [22 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [47 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [60 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [69 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [85 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [90 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [95 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [96 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [95 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [94 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [92 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [88 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [84 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [74 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [68 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [58 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [55 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [45 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [41 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [33 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [30 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [26 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [25 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [21 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [19 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [14 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [12 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [11 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [9 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [8 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [6 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [5 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [4 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [3 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [2 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [1 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 785], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a23451 area = [0 0 734 451], geometry = [127 135 734 451], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 575 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 37], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 575 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Shutdown
Stopping manager...
Stopping event listener...
... stopped event listener
Stopping controller...
... stopped controller
... manager terminated
Stopping client connector...
Stopping client message publisher...
... stopped client message publisher
Stopping client command collector...
Damage event on window 0x240000a area = [0 0 1920 1019], geometry = [0 0 1920 1019], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x3000001 area = [0 0 1024 768], geometry = [896 59 1024 768], level = 0, send_event = 0
Damage event on window 0x400007 area = [0 0 645 113], geometry = [1194 584 645 113], level = 0, send_event = 0
Damage event on window 0x2a23451 area = [0 0 734 451], geometry = [127 135 734 451], level = 0, send_event = 0
... stopped client command collector
... client connector stopped
ZeroMQ interrupted from message recv.
Stopping keyboard connector...
... stopped keyboard connector
WebX terminated
